;name;a;b;c;d;e;f;price_rub;gamma;degre_1;degre_2
0;rail_dr;6.98173425e-64;-1.1789942850000001e-50;9.498786975e-38;-2.9263005675e-25;5.5627391925e-13;0;51.049875;0.01;4;4
1;rail_odr;7.7574825e-65;-1.3099936500000001e-51;1.0554207750000001e-38;-3.251445075e-26;6.180821325000001e-14;0;51.049875;0.02;4;4
2;fasten;-2.1976900000000003e-86;3.74935e-68;-2.17811e-50;4.859140000000001e-33;-1.2725900000000003e-16;0;2.75604;0.001;4;4
3;tie;-1.248e-86;2.1294e-68;-1.2371e-50;2.7604e-33;-7.2329e-17;0;5.43;0.001;4;4
4;shkol_dop;0.0;-2.7621000000000003e-70;2.3254e-52;4.3879000000000004e-35;7.137900000000001e-18;0;0.5749453125;0.005;4;4
5;shkol_pred;0.0;-9.205900000000002e-71;7.7517e-53;1.463e-35;2.3793e-18;0;0.76659375;0.01;4;4
6;shkol_otkaz;0.0;-2.3012e-71;1.9382e-53;3.6564e-36;5.9488e-19;0;0.9582421875;0.03;4;4
7;prof_dop;-4e-79;1e-62;-1e-46;2e-31;3e-15;0;7.421512499999999;0.0025;4;4
8;prof_pred;-1.2278e-79;4.6375e-63;-4.6063e-47;5.168e-32;1.1414e-15;0;9.895349999999999;0.005;4;4
9;prof_otkaz;-4.604e-80;1.739e-63;-1.727e-47;1.938e-32;4.28e-16;0;12.369187499999999;0.015;4;4
10;plan_dop;0.0;-2.674e-30;7.893e-21;-1.342e-13;8.294e-07;0;0.8521875;0.0025;4;4
11;plan_pred;0.0;-8.913e-31;2.631e-21;-4.473e-14;2.765e-07;0;1.13625;0.005;4;4
12;plan_otkaz;0.0;-8.913e-31;2.631e-21;-4.473e-14;2.765e-07;0;1.4203125;0.015;4;4
13;ballast;1.5543e-59;-9.9425e-47;2.3518e-34;-2.582e-22;1.3875e-10;0;1.59515625;0.05;250;4
14;opzp;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;80;4
